epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.165,1.5624,12.1076,1.8421,0.00429,0.67415,0.04558,0.02597,1.43851,12.6803,1.82407,0.000331439,0.000331439,0.000331439
2,334.764,1.35679,11.1109,1.65394,0.44723,0.27638,0.27095,0.20051,1.39484,10.6792,1.67942,0.000658191,0.000658191,0.000658191
3,499.844,1.36105,9.08588,1.62918,0.61819,0.47812,0.45659,0.34345,1.39266,9.3236,1.69479,0.000978344,0.000978344,0.000978344
4,664.04,1.31885,7.62928,1.5792,0.70019,0.53895,0.53908,0.42096,1.31956,8.27526,1.60354,0.0009703,0.0009703,0.0009703
5,828.439,1.25752,6.89839,1.52267,0.63412,0.5682,0.56842,0.44233,1.32406,7.70693,1.6033,0.0009604,0.0009604,0.0009604
6,993.168,1.22162,6.46669,1.49499,0.57338,0.60927,0.59457,0.46172,1.28076,7.25089,1.54745,0.0009505,0.0009505,0.0009505
7,1158.36,1.2002,6.16666,1.46953,0.61503,0.59002,0.60429,0.46701,1.29315,7.14239,1.56394,0.0009406,0.0009406,0.0009406
8,1323.68,1.20507,6.04112,1.47309,0.59645,0.60289,0.60153,0.46699,1.27708,7.09915,1.55924,0.0009307,0.0009307,0.0009307
9,1488.97,1.17447,5.71547,1.45621,0.72882,0.58889,0.63241,0.49079,1.24904,6.59161,1.53701,0.0009208,0.0009208,0.0009208
10,1654,1.13764,5.48905,1.42037,0.63259,0.63309,0.63192,0.49782,1.22305,6.37699,1.50556,0.0009109,0.0009109,0.0009109
11,1819.37,1.13604,5.31386,1.41911,0.66387,0.63942,0.64788,0.50372,1.25999,6.35568,1.5385,0.000901,0.000901,0.000901
12,1984.1,1.12283,5.17912,1.41142,0.69416,0.60864,0.64693,0.50503,1.24832,6.20293,1.50457,0.0008911,0.0008911,0.0008911
13,2149.29,1.11652,5.07146,1.40031,0.67123,0.63781,0.66157,0.51008,1.23629,6.05542,1.51191,0.0008812,0.0008812,0.0008812
14,2314.46,1.10533,4.88665,1.39277,0.67142,0.65981,0.6696,0.51397,1.24229,5.88586,1.48697,0.0008713,0.0008713,0.0008713
15,2479.25,1.09985,4.81338,1.37918,0.73003,0.6219,0.66892,0.52056,1.21147,5.77682,1.49323,0.0008614,0.0008614,0.0008614
16,2644.32,1.09807,4.6927,1.37895,0.70903,0.63722,0.66849,0.51883,1.25122,5.8834,1.52426,0.0008515,0.0008515,0.0008515
17,2808.77,1.08965,4.63329,1.37323,0.7054,0.65401,0.67642,0.51933,1.25017,5.78828,1.51997,0.0008416,0.0008416,0.0008416
18,2973.9,1.09356,4.53972,1.37196,0.70031,0.64057,0.67025,0.5211,1.25667,5.7393,1.51218,0.0008317,0.0008317,0.0008317
19,3138.03,1.07825,4.39976,1.35719,0.67752,0.6856,0.6948,0.54136,1.22124,5.41289,1.48846,0.0008218,0.0008218,0.0008218
20,3302.51,1.07597,4.32565,1.35396,0.73205,0.68786,0.7002,0.54991,1.19718,5.31469,1.46529,0.0008119,0.0008119,0.0008119
21,3466.45,1.05901,4.20716,1.33436,0.73076,0.67584,0.6988,0.54788,1.21252,5.29748,1.4712,0.000802,0.000802,0.000802
22,3630.81,1.04524,4.14109,1.32569,0.7089,0.67193,0.6932,0.54043,1.21012,5.33229,1.47784,0.0007921,0.0007921,0.0007921
23,3795.37,1.04878,4.1004,1.33348,0.72321,0.6625,0.69247,0.54037,1.21617,5.23466,1.46785,0.0007822,0.0007822,0.0007822
24,3960.53,1.04556,4.04844,1.32661,0.68667,0.67852,0.6812,0.53383,1.22587,5.46156,1.504,0.0007723,0.0007723,0.0007723
25,4125.37,1.03887,3.88865,1.32227,0.71141,0.69992,0.71355,0.54886,1.20878,5.12691,1.4688,0.0007624,0.0007624,0.0007624
26,4290.31,1.03623,3.82938,1.311,0.70604,0.68887,0.70085,0.54208,1.21632,5.07564,1.47602,0.0007525,0.0007525,0.0007525
27,4455.21,1.0407,3.80824,1.31154,0.7168,0.67969,0.69417,0.54078,1.21365,5.12218,1.46744,0.0007426,0.0007426,0.0007426
28,4619.94,1.02885,3.76427,1.30369,0.72649,0.68544,0.705,0.5444,1.22645,5.19525,1.48266,0.0007327,0.0007327,0.0007327
29,4784.69,1.01805,3.71456,1.30597,0.6946,0.68791,0.70322,0.54698,1.21429,5.15791,1.47355,0.0007228,0.0007228,0.0007228
30,4949.79,1.01638,3.65628,1.30287,0.7286,0.68322,0.70829,0.54698,1.22561,4.92027,1.47969,0.0007129,0.0007129,0.0007129
31,5114.68,1.00685,3.57369,1.2874,0.73203,0.67485,0.70477,0.54458,1.22283,4.98214,1.47842,0.000703,0.000703,0.000703
32,5279.07,0.9973,3.5681,1.28738,0.75228,0.68938,0.71697,0.55624,1.20566,4.98897,1.45901,0.0006931,0.0006931,0.0006931
33,5443.62,0.9913,3.51112,1.28105,0.68899,0.7075,0.70897,0.5475,1.23591,5.07265,1.51454,0.0006832,0.0006832,0.0006832
34,5608.01,1.00556,3.47672,1.28165,0.74857,0.68374,0.71361,0.55646,1.21472,4.91604,1.47477,0.0006733,0.0006733,0.0006733
35,5772.56,1.00152,3.45028,1.2856,0.73905,0.67912,0.69783,0.54672,1.2357,5.10748,1.50173,0.0006634,0.0006634,0.0006634
36,5937.62,0.98773,3.40698,1.27763,0.75922,0.68204,0.71741,0.55735,1.23414,4.93919,1.4915,0.0006535,0.0006535,0.0006535
37,6102.39,0.97651,3.31462,1.25781,0.74771,0.68628,0.72194,0.55763,1.21161,4.77857,1.4793,0.0006436,0.0006436,0.0006436
38,6266.71,0.98436,3.34385,1.27116,0.78033,0.67863,0.71879,0.55841,1.2173,4.75637,1.48074,0.0006337,0.0006337,0.0006337
39,6430.91,0.98227,3.2809,1.26425,0.75652,0.70318,0.72557,0.56543,1.20391,4.70706,1.46927,0.0006238,0.0006238,0.0006238
40,6594.9,0.97907,3.25197,1.26771,0.72475,0.68419,0.71101,0.55319,1.22571,4.85715,1.47957,0.0006139,0.0006139,0.0006139
41,6758.66,0.97632,3.21204,1.2548,0.72984,0.68668,0.70847,0.56076,1.20233,4.89056,1.4731,0.000604,0.000604,0.000604
42,6922.45,0.96388,3.175,1.25774,0.79035,0.66335,0.7209,0.56176,1.21287,4.84223,1.47972,0.0005941,0.0005941,0.0005941
43,7086.03,0.96514,3.11608,1.24764,0.72274,0.70488,0.72283,0.55974,1.21024,4.84112,1.48397,0.0005842,0.0005842,0.0005842
44,7249.72,0.97378,3.14393,1.25835,0.76314,0.68813,0.72657,0.56526,1.21415,4.74148,1.47122,0.0005743,0.0005743,0.0005743
45,7413.55,0.96866,3.09074,1.24888,0.74603,0.69102,0.72711,0.5618,1.24205,4.6833,1.49878,0.0005644,0.0005644,0.0005644
46,7576.93,0.95852,3.03491,1.24323,0.76839,0.69692,0.72425,0.56079,1.22792,4.62471,1.48819,0.0005545,0.0005545,0.0005545
47,7740.35,0.9581,3.02207,1.23759,0.75222,0.70266,0.72845,0.5676,1.21666,4.69922,1.46677,0.0005446,0.0005446,0.0005446
48,7904.06,0.95417,3.02734,1.24357,0.76772,0.68659,0.71567,0.55968,1.21805,4.76655,1.4839,0.0005347,0.0005347,0.0005347
49,8067.66,0.95738,3.00457,1.23664,0.7616,0.70731,0.73663,0.57035,1.24117,4.55821,1.49679,0.0005248,0.0005248,0.0005248
50,8231.28,0.94367,2.95231,1.23451,0.7817,0.69738,0.72774,0.56818,1.21396,4.59688,1.47477,0.0005149,0.0005149,0.0005149
51,8394.88,0.94287,2.91775,1.22566,0.77018,0.69386,0.72825,0.57334,1.22098,4.6174,1.48743,0.000505,0.000505,0.000505
52,8558.45,0.94326,2.91386,1.23389,0.79333,0.66618,0.72751,0.57107,1.2148,4.66682,1.4887,0.0004951,0.0004951,0.0004951
53,8722.09,0.93036,2.83983,1.22361,0.76181,0.70604,0.7307,0.5705,1.23277,4.61304,1.49405,0.0004852,0.0004852,0.0004852
54,8885.71,0.92851,2.82793,1.22672,0.76935,0.69319,0.72949,0.56724,1.22213,4.6346,1.48854,0.0004753,0.0004753,0.0004753
55,9049.22,0.93882,2.83133,1.22105,0.76311,0.71181,0.73802,0.57674,1.21808,4.50968,1.48143,0.0004654,0.0004654,0.0004654
56,9212.86,0.92031,2.79338,1.21347,0.76458,0.69859,0.73656,0.57835,1.2142,4.55973,1.48345,0.0004555,0.0004555,0.0004555
57,9376.31,0.93289,2.79817,1.22087,0.78588,0.69262,0.73697,0.57392,1.22015,4.56166,1.48011,0.0004456,0.0004456,0.0004456
58,9539.71,0.92732,2.78416,1.21345,0.74221,0.7152,0.73329,0.57515,1.22553,4.55735,1.49078,0.0004357,0.0004357,0.0004357
59,9703.23,0.91614,2.75161,1.20838,0.75595,0.71449,0.73538,0.57777,1.2442,4.50722,1.50041,0.0004258,0.0004258,0.0004258
60,9866.39,0.91827,2.72101,1.21346,0.77502,0.68784,0.72624,0.57347,1.22644,4.63795,1.4901,0.0004159,0.0004159,0.0004159
61,10029.8,0.91249,2.72846,1.21645,0.79022,0.69064,0.73095,0.57642,1.21309,4.54581,1.4735,0.000406,0.000406,0.000406
62,10193.1,0.91225,2.69036,1.20309,0.77591,0.68792,0.7263,0.57195,1.23727,4.68846,1.51049,0.0003961,0.0003961,0.0003961
63,10356.4,0.91866,2.68338,1.20922,0.77725,0.69598,0.73375,0.57622,1.20101,4.5537,1.47196,0.0003862,0.0003862,0.0003862
64,10519.2,0.90318,2.63831,1.20375,0.75772,0.70671,0.73085,0.56998,1.22841,4.5216,1.5014,0.0003763,0.0003763,0.0003763
65,10681.9,0.90491,2.5916,1.19618,0.76743,0.7032,0.72845,0.57396,1.21733,4.56515,1.48916,0.0003664,0.0003664,0.0003664
66,10844.8,0.9023,2.61411,1.19897,0.76022,0.69753,0.72936,0.57194,1.21855,4.55189,1.48466,0.0003565,0.0003565,0.0003565
67,11007.9,0.90607,2.58867,1.20101,0.79522,0.68156,0.72826,0.56775,1.22067,4.58195,1.4882,0.0003466,0.0003466,0.0003466
68,11171.3,0.89301,2.59812,1.1926,0.75269,0.70404,0.73035,0.57532,1.20854,4.54513,1.48074,0.0003367,0.0003367,0.0003367
69,11347.3,0.88971,2.5778,1.19361,0.80083,0.67624,0.72966,0.57689,1.21436,4.57392,1.49825,0.0003268,0.0003268,0.0003268
70,11510.3,0.88785,2.53593,1.18951,0.78997,0.69528,0.73363,0.57218,1.22103,4.5729,1.49511,0.0003169,0.0003169,0.0003169
71,11673.6,0.89453,2.54648,1.19167,0.80907,0.69063,0.73252,0.57077,1.21752,4.51416,1.48834,0.000307,0.000307,0.000307
72,11837.1,0.89444,2.52546,1.19396,0.79545,0.6972,0.73602,0.57626,1.22107,4.5367,1.48638,0.0002971,0.0002971,0.0002971
